edad,ingreso_mensual,distancia_casa,anios_empresa,satisfaccion_laboral,nivel_cargo,horas_extra,num_empresas_previas,abandono
21,1833.53,6.0,37.0,4,2,0,6,0
51,8671.86,10.0,39.0,3,3,0,2,0
46,3766.12,,3.0,3,4,0,7,0
36,1000.0,18.0,16.0,1,5,0,5,0
36,5206.38,5.0,21.0,4,1,0,4,0
54,,7.0,20.0,2,1,0,8,0
21,8573.34,21.0,39.0,2,2,0,1,0
47,15580.14,2.0,26.0,4,4,0,2,0
26,7297.54,13.0,16.0,3,4,1,8,0
22,17515.11,21.0,36.0,3,1,0,1,0
40,7298.85,13.0,29.0,4,1,1,0,0
59,6601.16,1.0,31.0,1,4,1,8,0
49,1000.0,5.0,25.0,1,2,1,0,0
50,11497.53,29.0,2.0,2,2,0,8,1
48,4240.44,23.0,38.0,2,1,0,8,1
51,3588.29,11.0,28.0,3,1,0,8,1
40,12265.54,26.0,5.0,3,1,1,0,1
23,11712.0,1.0,10.0,3,3,1,2,0
54,11594.23,2.0,13.0,4,3,0,1,0
37,4870.14,26.0,10.0,2,2,1,7,1
39,6270.61,20.0,24.0,1,3,0,2,1
33,6230.66,18.0,21.0,2,1,0,2,0
25,10021.33,10.0,8.0,4,1,0,5,1
57,13491.04,24.0,27.0,3,1,0,6,0
51,8156.66,18.0,11.0,4,1,0,4,0
45,15387.01,13.0,6.0,4,5,0,1,0
35,10537.37,12.0,38.0,4,1,0,4,0
53,5443.4,11.0,12.0,4,1,0,4,0
41,10229.2,17.0,9.0,3,3,0,5,0
37,14176.73,20.0,28.0,4,2,1,9,0
37,15492.3,24.0,30.0,3,1,1,3,0
27,11841.01,12.0,6.0,2,1,0,0,0
21,6615.54,8.0,2.0,2,1,0,1,0
41,5524.88,17.0,33.0,4,1,0,1,0
56,9092.31,17.0,20.0,2,3,0,8,0
20,14032.89,9.0,18.0,4,2,1,6,1
54,8451.96,3.0,16.0,4,1,0,2,1
53,8545.39,10.0,23.0,2,3,0,7,0
29,6731.29,3.0,26.0,2,1,0,9,0
45,5024.49,3.0,3.0,2,2,1,4,0
25,5770.39,,10.0,3,1,0,7,0
50,7109.42,23.0,38.0,3,1,1,7,0
48,14231.45,2.0,6.0,2,2,0,2,0
33,5421.29,11.0,36.0,3,1,0,9,0
20,6736.75,8.0,16.0,3,1,0,9,0
59,2605.8,29.0,7.0,2,2,0,6,0
37,9724.84,13.0,23.0,1,4,0,9,0
56,12650.06,,26.0,2,2,0,4,0
47,13810.24,19.0,13.0,4,1,0,7,0
51,7415.14,14.0,31.0,2,2,0,6,1
50,9084.59,6.0,2.0,1,2,0,5,1
26,5809.02,9.0,4.0,3,1,0,3,1
33,8876.08,4.0,24.0,3,2,0,3,1
38,7912.84,21.0,23.0,4,2,0,0,0
39,6762.19,29.0,27.0,3,5,0,4,0
19,7119.89,24.0,34.0,3,4,0,1,0
41,8533.65,11.0,37.0,3,1,1,5,1
24,5176.31,15.0,20.0,4,3,0,4,0
49,5408.76,2.0,20.0,3,2,1,1,0
47,14183.13,11.0,36.0,3,4,0,2,0
57,18697.46,1.0,38.0,1,3,1,8,0
50,1080.35,22.0,1.0,3,3,0,0,0
33,1000.0,27.0,20.0,4,2,1,2,0
59,2192.81,6.0,36.0,2,3,1,3,0
35,6035.2,20.0,2.0,2,2,0,7,1
32,10531.01,18.0,39.0,3,3,0,8,0
56,9160.64,13.0,29.0,4,2,0,7,0
33,7274.14,22.0,6.0,1,1,0,0,0
21,8880.21,20.0,25.0,4,2,0,3,0
38,3385.61,8.0,17.0,2,1,0,9,0
52,5401.45,24.0,13.0,4,1,0,7,1
26,6409.57,20.0,24.0,4,2,0,1,0
37,1000.0,10.0,29.0,4,2,0,4,0
23,1274.1,22.0,35.0,4,1,0,4,0
47,1452.95,19.0,16.0,4,1,0,2,0
38,9938.49,4.0,6.0,4,2,0,8,0
32,7604.1,5.0,34.0,3,5,0,7,0
